"c71703cc-f73d-41b9-a450-465ec56c0fca","AAPL","1","120.00","2023-04-01"
"c104a0b4-056d-4186-95f1-dde3bcd574d1","MSFT","2","234.00","2023-02-17"
"90d5feb0-e382-4ae3-8679-37a13a6f83a9","AAPL","12","100.00","2023-03-11"
"90d5feb0-e382-4ae3-8679-37a13a6f83a0","TSLA","120","110.00","2023-03-11"
"90d5feb0-e382-4ae3-8679-37a13a6f83a0","TSLA","120","110.00","2023-03-11"
"90d5feb0-e382-4ae3-8679-37a13a6f83a0","TSLA","120","110.00","2023-03-11"
"40ba3246-7f46-454b-a2fe-c1b28fddcd97","AAPL","12","100.10","2023-03-11"
"3a5b4116-55ef-41cb-8d06-8b85645358b9","AAPL","123","123.00","2023-04-01"
"6526c8db-20a5-428a-879b-d598a708a3c2","AAPL","2","2.00","2023-04-01"
"46d14d98-fc50-41f8-88e1-c31683ed8df9","AAPL","1","1.00","2023-04-15"
"544f42f2-6aa1-43a8-8eaf-66f357d3e4c7","AAPL","1","1.00","2023-04-15"